@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2}

@data
119,'2024/10/30 14:13:08:394',1,529,200,1
120,'2024/10/30 14:13:08:411',1,530,197,1
121,'2024/10/30 14:13:08:428',1,532,190,1
122,'2024/10/30 14:13:08:445',1,533,186,1
123,'2024/10/30 14:13:08:461',1,535,178,1
124,'2024/10/30 14:13:08:478',1,535,177,1
125,'2024/10/30 14:13:08:494',1,537,169,1
126,'2024/10/30 14:13:08:511',1,537,168,1
127,'2024/10/30 14:13:08:528',1,539,158,1
128,'2024/10/30 14:13:08:545',1,539,156,1
129,'2024/10/30 14:13:08:561',1,540,148,1
130,'2024/10/30 14:13:08:578',1,540,145,1
131,'2024/10/30 14:13:08:595',1,541,142,1
132,'2024/10/30 14:13:08:611',1,542,140,1
133,'2024/10/30 14:13:08:628',1,545,133,1
134,'2024/10/30 14:13:08:644',1,545,132,1
135,'2024/10/30 14:13:08:661',1,547,126,1
136,'2024/10/30 14:13:08:678',1,548,125,1
137,'2024/10/30 14:13:08:695',1,548,124,1
138,'2024/10/30 14:13:08:712',1,548,123,1
139,'2024/10/30 14:13:08:728',1,549,122,1
140,'2024/10/30 14:13:08:744',1,549,122,1
141,'2024/10/30 14:13:08:762',1,549,121,1
142,'2024/10/30 14:13:08:778',1,549,121,1
143,'2024/10/30 14:13:08:795',1,549,120,1
144,'2024/10/30 14:13:08:811',1,549,118,1
145,'2024/10/30 14:13:08:828',1,550,117,1
146,'2024/10/30 14:13:08:844',1,550,115,1
147,'2024/10/30 14:13:08:862',1,550,114,1
148,'2024/10/30 14:13:08:879',1,550,112,1
149,'2024/10/30 14:13:08:896',1,550,111,1
150,'2024/10/30 14:13:08:911',1,549,110,1
151,'2024/10/30 14:13:08:929',1,549,110,1
152,'2024/10/30 14:13:08:945',1,549,110,1
153,'2024/10/30 14:13:08:962',1,549,110,1
154,'2024/10/30 14:13:08:978',1,549,110,1
155,'2024/10/30 14:13:08:996',1,549,110,1
156,'2024/10/30 14:13:09:012',1,548,111,1
157,'2024/10/30 14:13:09:029',1,547,112,1
158,'2024/10/30 14:13:09:045',1,546,113,1
159,'2024/10/30 14:13:09:062',1,546,113,1
160,'2024/10/30 14:13:09:078',1,544,115,1
161,'2024/10/30 14:13:09:095',1,544,116,1
162,'2024/10/30 14:13:09:111',1,539,125,1
163,'2024/10/30 14:13:09:128',1,538,127,1
164,'2024/10/30 14:13:09:144',1,534,133,1
165,'2024/10/30 14:13:09:162',1,533,136,1
166,'2024/10/30 14:13:09:178',1,531,138,1
167,'2024/10/30 14:13:09:195',1,528,142,1
168,'2024/10/30 14:13:09:211',1,523,146,1
169,'2024/10/30 14:13:09:228',1,518,151,1
170,'2024/10/30 14:13:09:244',1,516,154,1
171,'2024/10/30 14:13:09:261',1,508,163,1
172,'2024/10/30 14:13:09:278',1,504,167,1
173,'2024/10/30 14:13:09:295',1,501,171,1
174,'2024/10/30 14:13:09:311',1,500,172,1
175,'2024/10/30 14:13:09:328',1,498,175,1
176,'2024/10/30 14:13:09:345',1,498,177,1
177,'2024/10/30 14:13:09:365',1,496,182,1
178,'2024/10/30 14:13:09:379',1,495,185,1
179,'2024/10/30 14:13:09:395',1,493,191,1
180,'2024/10/30 14:13:09:411',1,492,192,1
181,'2024/10/30 14:13:09:428',1,491,196,1
182,'2024/10/30 14:13:09:445',1,491,198,1
183,'2024/10/30 14:13:09:461',1,490,201,1
184,'2024/10/30 14:13:09:478',1,490,203,1
185,'2024/10/30 14:13:09:495',1,490,210,1
186,'2024/10/30 14:13:09:512',1,490,213,1
187,'2024/10/30 14:13:09:529',1,490,216,1
188,'2024/10/30 14:13:09:545',1,490,218,1
189,'2024/10/30 14:13:09:561',1,490,219,1
190,'2024/10/30 14:13:09:578',1,490,221,1
191,'2024/10/30 14:13:09:595',1,490,224,1
192,'2024/10/30 14:13:09:611',1,490,226,1
193,'2024/10/30 14:13:09:629',1,491,229,1
